	Cluster_ID	Gene_ID	Contig_ID	MAG_ID
0	Cluster 0	G80568_pe_k99_2555_88	G80568_pe_k99_2555	G80568_pe_bin.4
1	Cluster 246	G80568_pe_k99_2555_64	G80568_pe_k99_2555	G80568_pe_bin.4
2	Cluster 727	G80568_pe_k99_2555_59	G80568_pe_k99_2555	G80568_pe_bin.4
3	Cluster 770	G80568_pe_k99_2555_10	G80568_pe_k99_2555	G80568_pe_bin.4
4	Cluster 821	G80568_pe_k99_2555_72	G80568_pe_k99_2555	G80568_pe_bin.4
5	Cluster 956	G80568_pe_k99_2555_34	G80568_pe_k99_2555	G80568_pe_bin.4
6	Cluster 984	G80568_pe_k99_2555_8	G80568_pe_k99_2555	G80568_pe_bin.4
7	Cluster 1024	G80568_pe_k99_2555_70	G80568_pe_k99_2555	G80568_pe_bin.4
8	Cluster 1068	G80568_pe_k99_2555_58	G80568_pe_k99_2555	G80568_pe_bin.4
9	Cluster 1212	G80568_pe_k99_2555_35	G80568_pe_k99_2555	G80568_pe_bin.4
10	Cluster 1218	G80568_pe_k99_2555_7	G80568_pe_k99_2555	G80568_pe_bin.4
11	Cluster 1222	G80568_pe_k99_2555_49	G80568_pe_k99_2555	G80568_pe_bin.4
12	Cluster 1584	G80568_pe_k99_2555_63	G80568_pe_k99_2555	G80568_pe_bin.4
13	Cluster 1844	G80568_pe_k99_2555_46	G80568_pe_k99_2555	G80568_pe_bin.4
14	Cluster 1935	G80568_pe_k99_2555_56	G80568_pe_k99_2555	G80568_pe_bin.4
15	Cluster 1941	G80568_pe_k99_2555_29	G80568_pe_k99_2555	G80568_pe_bin.4
16	Cluster 1987	G80568_pe_k99_2555_67	G80568_pe_k99_2555	G80568_pe_bin.4
17	Cluster 2047	G80568_pe_k99_2555_55	G80568_pe_k99_2555	G80568_pe_bin.4
18	Cluster 2223	G80568_pe_k99_2555_44	G80568_pe_k99_2555	G80568_pe_bin.4
19	Cluster 2447	G80568_pe_k99_2555_38	G80568_pe_k99_2555	G80568_pe_bin.4
20	Cluster 2525	G80568_pe_k99_2555_47	G80568_pe_k99_2555	G80568_pe_bin.4
21	Cluster 2747	G80568_pe_k99_2555_66	G80568_pe_k99_2555	G80568_pe_bin.4
22	Cluster 3168	G80568_pe_k99_2555_31	G80568_pe_k99_2555	G80568_pe_bin.4
23	Cluster 3366	G80568_pe_k99_2555_82	G80568_pe_k99_2555	G80568_pe_bin.4
24	Cluster 3858	G80568_pe_k99_2555_81	G80568_pe_k99_2555	G80568_pe_bin.4
25	Cluster 3907	G80568_pe_k99_2555_17	G80568_pe_k99_2555	G80568_pe_bin.4
26	Cluster 3920	G80568_pe_k99_2555_75	G80568_pe_k99_2555	G80568_pe_bin.4
27	Cluster 3957	G80568_pe_k99_2555_69	G80568_pe_k99_2555	G80568_pe_bin.4
28	Cluster 4131	G80568_pe_k99_2555_62	G80568_pe_k99_2555	G80568_pe_bin.4
29	Cluster 4157	G80568_pe_k99_2555_48	G80568_pe_k99_2555	G80568_pe_bin.4
30	Cluster 4212	G80568_pe_k99_2555_65	G80568_pe_k99_2555	G80568_pe_bin.4
31	Cluster 4245	G80568_pe_k99_2555_12	G80568_pe_k99_2555	G80568_pe_bin.4
32	Cluster 4268	G80568_pe_k99_2555_45	G80568_pe_k99_2555	G80568_pe_bin.4
33	Cluster 4618	G80568_pe_k99_2555_1	G80568_pe_k99_2555	G80568_pe_bin.4
34	Cluster 5232	G80568_pe_k99_2555_21	G80568_pe_k99_2555	G80568_pe_bin.4
35	Cluster 5254	G80568_pe_k99_2555_78	G80568_pe_k99_2555	G80568_pe_bin.4
36	Cluster 5313	G80568_pe_k99_2555_13	G80568_pe_k99_2555	G80568_pe_bin.4
37	Cluster 5372	G80568_pe_k99_2555_16	G80568_pe_k99_2555	G80568_pe_bin.4
38	Cluster 5422	G80568_pe_k99_2555_19	G80568_pe_k99_2555	G80568_pe_bin.4
39	Cluster 5692	G80568_pe_k99_2555_39	G80568_pe_k99_2555	G80568_pe_bin.4
40	Cluster 5750	G80568_pe_k99_2555_2	G80568_pe_k99_2555	G80568_pe_bin.4
41	Cluster 5816	G80568_pe_k99_2555_4	G80568_pe_k99_2555	G80568_pe_bin.4
42	Cluster 5839	G80568_pe_k99_2555_23	G80568_pe_k99_2555	G80568_pe_bin.4
43	Cluster 5930	G80568_pe_k99_2555_61	G80568_pe_k99_2555	G80568_pe_bin.4
44	Cluster 6003	G80568_pe_k99_2555_60	G80568_pe_k99_2555	G80568_pe_bin.4
45	Cluster 6089	G80568_pe_k99_2555_22	G80568_pe_k99_2555	G80568_pe_bin.4
46	Cluster 6110	G80568_pe_k99_2555_68	G80568_pe_k99_2555	G80568_pe_bin.4
47	Cluster 6180	G80568_pe_k99_2555_27	G80568_pe_k99_2555	G80568_pe_bin.4
48	Cluster 6196	G80568_pe_k99_2555_77	G80568_pe_k99_2555	G80568_pe_bin.4
49	Cluster 6272	G80568_pe_k99_2555_24	G80568_pe_k99_2555	G80568_pe_bin.4
50	Cluster 6330	G80568_pe_k99_2555_83	G80568_pe_k99_2555	G80568_pe_bin.4
51	Cluster 6361	G80568_pe_k99_2555_36	G80568_pe_k99_2555	G80568_pe_bin.4
52	Cluster 6368	G80568_pe_k99_2555_41	G80568_pe_k99_2555	G80568_pe_bin.4
53	Cluster 6451	G80568_pe_k99_2555_40	G80568_pe_k99_2555	G80568_pe_bin.4
54	Cluster 6691	G80568_pe_k99_2555_9	G80568_pe_k99_2555	G80568_pe_bin.4
55	Cluster 6725	G80568_pe_k99_2555_3	G80568_pe_k99_2555	G80568_pe_bin.4
56	Cluster 6900	G80568_pe_k99_2555_37	G80568_pe_k99_2555	G80568_pe_bin.4
57	Cluster 7041	G80568_pe_k99_2555_30	G80568_pe_k99_2555	G80568_pe_bin.4
58	Cluster 7067	G80568_pe_k99_2555_25	G80568_pe_k99_2555	G80568_pe_bin.4
59	Cluster 7157	G80568_pe_k99_2555_26	G80568_pe_k99_2555	G80568_pe_bin.4
60	Cluster 7185	G80568_pe_k99_2555_43	G80568_pe_k99_2555	G80568_pe_bin.4
61	Cluster 7402	G80568_pe_k99_2555_42	G80568_pe_k99_2555	G80568_pe_bin.4
62	Cluster 7736	G80568_pe_k99_2555_11	G80568_pe_k99_2555	G80568_pe_bin.4
63	Cluster 7924	G80568_pe_k99_2555_76	G80568_pe_k99_2555	G80568_pe_bin.4
64	Cluster 8332	G80568_pe_k99_2555_32	G80568_pe_k99_2555	G80568_pe_bin.4
65	Cluster 8491	G80568_pe_k99_2555_74	G80568_pe_k99_2555	G80568_pe_bin.4
66	Cluster 8704	G80568_pe_k99_2555_85	G80568_pe_k99_2555	G80568_pe_bin.4
67	Cluster 9237	G80568_pe_k99_2555_57	G80568_pe_k99_2555	G80568_pe_bin.4
68	Cluster 9240	G80568_pe_k99_2555_80	G80568_pe_k99_2555	G80568_pe_bin.4
69	Cluster 9335	G80568_pe_k99_2555_20	G80568_pe_k99_2555	G80568_pe_bin.4
70	Cluster 9556	G80568_pe_k99_2555_15	G80568_pe_k99_2555	G80568_pe_bin.4
71	Cluster 9610	G80568_pe_k99_2555_6	G80568_pe_k99_2555	G80568_pe_bin.4
72	Cluster 9631	G80568_pe_k99_2555_28	G80568_pe_k99_2555	G80568_pe_bin.4
73	Cluster 9830	G80568_pe_k99_2555_33	G80568_pe_k99_2555	G80568_pe_bin.4
74	Cluster 9853	G80568_pe_k99_2555_86	G80568_pe_k99_2555	G80568_pe_bin.4
75	Cluster 10066	G80568_pe_k99_2555_90	G80568_pe_k99_2555	G80568_pe_bin.4
76	Cluster 10451	G80568_pe_k99_2555_84	G80568_pe_k99_2555	G80568_pe_bin.4
77	Cluster 10585	G80568_pe_k99_2555_54	G80568_pe_k99_2555	G80568_pe_bin.4
78	Cluster 10784	G80568_pe_k99_2555_89	G80568_pe_k99_2555	G80568_pe_bin.4
79	Cluster 11155	G80568_pe_k99_2555_73	G80568_pe_k99_2555	G80568_pe_bin.4
80	Cluster 11499	G80568_pe_k99_2555_87	G80568_pe_k99_2555	G80568_pe_bin.4
81	Cluster 11515	G80568_pe_k99_2555_5	G80568_pe_k99_2555	G80568_pe_bin.4
82	Cluster 11711	G80568_pe_k99_2555_53	G80568_pe_k99_2555	G80568_pe_bin.4
83	Cluster 11793	G80568_pe_k99_2555_79	G80568_pe_k99_2555	G80568_pe_bin.4
84	Cluster 11938	G80568_pe_k99_2555_52	G80568_pe_k99_2555	G80568_pe_bin.4
85	Cluster 12053	G80568_pe_k99_2555_50	G80568_pe_k99_2555	G80568_pe_bin.4
86	Cluster 12294	G80568_pe_k99_2555_18	G80568_pe_k99_2555	G80568_pe_bin.4
87	Cluster 12398	G80568_pe_k99_2555_14	G80568_pe_k99_2555	G80568_pe_bin.4
88	Cluster 12408	G80568_pe_k99_2555_51	G80568_pe_k99_2555	G80568_pe_bin.4
89	Cluster 12548	G80568_pe_k99_2555_71	G80568_pe_k99_2555	G80568_pe_bin.4
90	Cluster 1	G80568_pe_k99_7940_9	G80568_pe_k99_7940	G80568_pe_bin.2
91	Cluster 59	G80568_pe_k99_7940_3	G80568_pe_k99_7940	G80568_pe_bin.2
92	Cluster 104	G80568_pe_k99_7940_10	G80568_pe_k99_7940	G80568_pe_bin.2
93	Cluster 1537	G80568_pe_k99_7940_4	G80568_pe_k99_7940	G80568_pe_bin.2
94	Cluster 2074	G80568_pe_k99_7940_5	G80568_pe_k99_7940	G80568_pe_bin.2
95	Cluster 2195	G80568_pe_k99_7940_7	G80568_pe_k99_7940	G80568_pe_bin.2
96	Cluster 4346	G80568_pe_k99_7940_8	G80568_pe_k99_7940	G80568_pe_bin.2
97	Cluster 5454	G80568_pe_k99_7940_2	G80568_pe_k99_7940	G80568_pe_bin.2
98	Cluster 11264	G80568_pe_k99_7940_6	G80568_pe_k99_7940	G80568_pe_bin.2
99	Cluster 2	G80616_pe_k99_2184_5	G80616_pe_k99_2184	G80616_pe_bin.1
100	Cluster 113	G80616_pe_k99_2184_44	G80616_pe_k99_2184	G80616_pe_bin.1
101	Cluster 201	G80616_pe_k99_2184_61	G80616_pe_k99_2184	G80616_pe_bin.1
102	Cluster 249	G80616_pe_k99_2184_65	G80616_pe_k99_2184	G80616_pe_bin.1
103	Cluster 528	G80616_pe_k99_2184_39	G80616_pe_k99_2184	G80616_pe_bin.1
104	Cluster 678	G80616_pe_k99_2184_55	G80616_pe_k99_2184	G80616_pe_bin.1
105	Cluster 703	G80616_pe_k99_2184_66	G80616_pe_k99_2184	G80616_pe_bin.1
106	Cluster 709	G80616_pe_k99_2184_16	G80616_pe_k99_2184	G80616_pe_bin.1
107	Cluster 719	G80616_pe_k99_2184_62	G80616_pe_k99_2184	G80616_pe_bin.1
108	Cluster 1062	G80616_pe_k99_2184_23	G80616_pe_k99_2184	G80616_pe_bin.1
109	Cluster 1120	G80616_pe_k99_2184_58	G80616_pe_k99_2184	G80616_pe_bin.1
110	Cluster 1452	G80616_pe_k99_2184_45	G80616_pe_k99_2184	G80616_pe_bin.1
111	Cluster 1479	G80616_pe_k99_2184_56	G80616_pe_k99_2184	G80616_pe_bin.1
112	Cluster 1688	G80616_pe_k99_2184_36	G80616_pe_k99_2184	G80616_pe_bin.1
113	Cluster 1996	G80616_pe_k99_2184_67	G80616_pe_k99_2184	G80616_pe_bin.1
114	Cluster 2250	G80616_pe_k99_2184_27	G80616_pe_k99_2184	G80616_pe_bin.1
115	Cluster 2273	G80616_pe_k99_2184_14	G80616_pe_k99_2184	G80616_pe_bin.1
116	Cluster 2502	G80616_pe_k99_2184_63	G80616_pe_k99_2184	G80616_pe_bin.1
117	Cluster 2521	G80616_pe_k99_2184_41	G80616_pe_k99_2184	G80616_pe_bin.1
118	Cluster 2553	G80616_pe_k99_2184_59	G80616_pe_k99_2184	G80616_pe_bin.1
119	Cluster 2574	G80616_pe_k99_2184_17	G80616_pe_k99_2184	G80616_pe_bin.1
120	Cluster 2924	G80616_pe_k99_2184_9	G80616_pe_k99_2184	G80616_pe_bin.1
121	Cluster 3447	G80616_pe_k99_2184_47	G80616_pe_k99_2184	G80616_pe_bin.1
122	Cluster 3531	G80616_pe_k99_2184_33	G80616_pe_k99_2184	G80616_pe_bin.1
123	Cluster 3562	G80616_pe_k99_2184_21	G80616_pe_k99_2184	G80616_pe_bin.1
124	Cluster 3574	G80616_pe_k99_2184_64	G80616_pe_k99_2184	G80616_pe_bin.1
125	Cluster 3958	G80616_pe_k99_2184_72	G80616_pe_k99_2184	G80616_pe_bin.1
126	Cluster 4034	G80616_pe_k99_2184_76	G80616_pe_k99_2184	G80616_pe_bin.1
127	Cluster 4039	G80616_pe_k99_2184_11	G80616_pe_k99_2184	G80616_pe_bin.1
128	Cluster 4383	G80616_pe_k99_2184_46	G80616_pe_k99_2184	G80616_pe_bin.1
129	Cluster 4438	G80616_pe_k99_2184_48	G80616_pe_k99_2184	G80616_pe_bin.1
130	Cluster 4816	G80616_pe_k99_2184_43	G80616_pe_k99_2184	G80616_pe_bin.1
131	Cluster 4921	G80616_pe_k99_2184_3	G80616_pe_k99_2184	G80616_pe_bin.1
132	Cluster 5141	G80616_pe_k99_2184_70	G80616_pe_k99_2184	G80616_pe_bin.1
133	Cluster 5287	G80616_pe_k99_2184_52	G80616_pe_k99_2184	G80616_pe_bin.1
134	Cluster 5367	G80616_pe_k99_2184_25	G80616_pe_k99_2184	G80616_pe_bin.1
135	Cluster 5561	G80616_pe_k99_2184_10	G80616_pe_k99_2184	G80616_pe_bin.1
136	Cluster 5588	G80616_pe_k99_2184_4	G80616_pe_k99_2184	G80616_pe_bin.1
137	Cluster 6126	G80616_pe_k99_2184_68	G80616_pe_k99_2184	G80616_pe_bin.1
